"Indicator type","Indicator","Description"
"domain","build38.io",""
"domain","buildingcarpet.com",""
"domain","buildingservicesindex.co.uk",""
"domain","buildurlife.net",""
"domain","buildyourdata.com",""
"domain","bulbazaur.com",""
"domain","bulgelivestock.com",""
"domain","bulginessgrandson.com",""
"domain","bulk-theft.net",""
"domain","bulksender.info",""
"domain","bulktheft.com",""
"domain","bullgame.net",""
"domain","bullringsnide.net",""
"domain","bunchi.club",""
"domain","bundledstraw.net",""
"domain","bundlegrader.net",""
"domain","bundlestofear.com",""
"domain","bunnycompare.com",""
"domain","bunnyinfra.net",""
"domain","bursttrack.net",""
"domain","bushfrighten.com",""
"domain","busilysustained.net",""
"domain","business-today.info",""
"domain","businesspractice.org",""
"domain","businesssupportme.com",""
"domain","bussybeesallover.com",""
"domain","bustimer.net",""
"domain","butterdogchange.com",""
"domain","buymanuel.co",""
"domain","buypresent4me.net",""
"domain","bytlo.com",""
"domain","bzst-info.icu",""
"domain","c-pay.com",""
"domain","c-updates.info",""
"domain","cablegirls.net",""
"domain","cablingtrack.net",""
"domain","cadetfence.net",""
"domain","cadillacestimator.com",""
"domain","cadmiumworst.net",""
"domain","cadosweb.es",""
"domain","cafelatenow.com",""
"domain","cakefried.net",""
"domain","calamariclunky.net",""
"domain","calculatesymbols.com",""
"domain","calculusscrawny.net",""
"domain","calendariorosa.com",""
"domain","calendarsapp.com",""
"domain","calpcount.net",""
"domain","cameocrayon.net",""
"domain","campusshowplace.net",""
"domain","canadian-overnite.com",""
"domain","candlealbum.com",""
"domain","canolaemit.net",""
"domain","canopenercatalyst.org",""
"domain","canteenjiffy.net",""
"domain","canvaswealth.net",""
"domain","canyonlakes.net",""
"domain","canyonrarity.com",""
"domain","capitolwharf.net",""
"domain","capsulejubilant.com",""
"domain","captiveportal.ir",""
"domain","caramelconjure.org",""
"domain","caratrejoicing.com",""
"domain","caravanshabby.com",""
"domain","carbonimaging.org",""
"domain","carepile.net",""
"domain","caretechno.net",""
"domain","cargonearly.com",""
"domain","caringsunset.com",""
"domain","carlesspossum.net",""
"domain","carmakersmirk.net",""
"domain","carmania7.net",""
"domain","caronspot.co",""
"domain","carpentryparasail.net",""
"domain","carpetdignity.com",""
